key,model,accuracy,accuracy_std,balanced_accuracy,balanced_accuracy_std,f1_macro,f1_macro_std,mcc,mcc_std,kappa,kappa_std,roc_auc,roc_auc_std
et,Extra trees,0.8981818181818182,0.07765147819659134,0.9183333333333333,0.06474308199851676,0.913015873015873,0.06805884500048492,0.8443897089409222,0.12310970837777396,0.835777872166257,0.12734798932069383,0.967095238095238,0.05107477018211592
rf,Random forest,0.889090909090909,0.10739592309543533,0.9116666666666665,0.08661857640124189,0.9022222222222223,0.09406167897344357,0.8310161121646406,0.16648782817042973,0.8229484519750778,0.1708157075008855,0.9709285714285715,0.03775052455005737
logreg,Logistic regression,0.8790909090909089,0.11208394138927918,0.905,0.08597480251019289,0.8974098124098125,0.09715462115667174,0.8211820078833707,0.16423288578452963,0.80571418689908,0.17905759511106123,0.9827777777777778,0.02475134593763264
svm,Support vector machine,0.8618181818181819,0.08496961051307578,0.885,0.07166666666666667,0.8854304954304955,0.07195085194149485,0.7820470660483281,0.13636264126369452,0.7745644540054704,0.1379383642879722,0.9559285714285715,0.06455346991998188
lgbm,LightGBM,0.8709090909090911,0.11013140160660223,0.8883333333333333,0.08852181149926332,0.8786363636363635,0.10227228942279248,0.8063046171254609,0.16516999519120892,0.7949859357921287,0.17088540243631295,0.9801349206349206,0.01999225253066007
nbayes,Gaussian naive Bayes,0.8436363636363637,0.13562222690161102,0.8800000000000001,0.10847426730181986,0.8664550264550265,0.12624691205266397,0.7720145988382094,0.2005881705127946,0.7562649501245992,0.20617556335196593,0.9457698412698411,0.05883067385251544
knn,K nearest neighbors,0.8245454545454546,0.106176992418359,0.865,0.08414603707576224,0.8559114959114961,0.08570698928504361,0.7298080885810958,0.17432585966627717,0.7180288678018384,0.17280150436990563,0.9337500000000001,0.056572498703870204
gboost,Gradient boosting,0.8063636363636363,0.10570894080109429,0.8400000000000001,0.08730533902472529,0.8165175565175566,0.0973728289001559,0.7095177011662603,0.1617933520002835,0.6961350972197462,0.16548053887892372,0.9432328042328043,0.05456665060603066
dtree,Decision tree,0.7890909090909092,0.10762653517780903,0.82,0.10873004286866726,0.8096153846153845,0.10199178714010267,0.6793272138192911,0.1716148233795685,0.6552248459192869,0.1802285712786103,0.8497883597883599,0.08615170249171901
ada,AdaBoost,0.5054545454545454,0.0783296699219564,0.5183333333333333,0.09984710533833438,0.42891108891108887,0.08747200382493621,0.24082693332121025,0.13697380209582533,0.1876778630769241,0.09937896235088474,0.793441798941799,0.10165055243359825
baseline,Most frequent baseline,0.4590909090909091,0.01363636363636364,0.33333333333333337,5.551115123125783e-17,0.20972222222222223,0.0041666666666666605,0.0,0.0,0.0,0.0,0.5,0.0
